UID,Name,Name_zh,Alliance,Alliance_UID,Alliance_zh,Irrigation_Region
V001,Beitou,陂头,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V002,Wumen,吴门,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V003,Baiyuling,白玉岭,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V004,Tiezao,铁灶,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V005,Longqian,龙前,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V006,Puzi,莆仔,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V007,Shanghengshan,上横山,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V008,Xiahengshan,下横山,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V009,Qingcha,青垞,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V010,Yunzhuang,云庄,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V011,Goukou,沟口,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V012,Goudong,沟东,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V013,Gouxi,沟西,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V014,Qiandun,前敦,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V015,Zhongdun,中墩,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V016,Houdun,后墩,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V017,Houmian,后面,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V018,Dingcuo,顶厝,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V019,Xiacuo,下厝,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V020,Gouxia,沟下,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V021,Xiwei,西尾,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V022,Cangtou,苍头,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V023,Getou,隔头,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V024,Nanwutang,南梧塘,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V025,Xiaqutou,下渠头,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V026,Dongting,东亭,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V027,Tangdong,塘东,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V028,Houliao,后廖,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V029,Xiadun,下墩,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V030,Quqiao,渠桥,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V031,Dongling,东岭,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V032,Tangbian,塘边,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V033,Dubian,度边,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V034,Xiangkou,巷口,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V035,Houting,后亭,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V036,Zhenwei,圳尾,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V037,Yangwei,洋尾,Xidong sancun (Xidong three village ritual alliance),A007,溪东三村,Southern
V038,Xidong,溪东,Xidong sancun (Xidong three village ritual alliance),A007,溪东三村,Southern
V039,Dongba,东坝,Xidong sancun (Xidong three village ritual alliance),A007,溪东三村,Southern
V040,Xiquantou,溪泉头,Xinxi sancun (Xinxi three village ritual alliance),A008,新溪三村,Southern
V041,Sanshê,三社,Xinxi sancun (Xinxi three village ritual alliance),A008,新溪三村,Southern
V042,Daili,埭里,Xinxi sancun (Xinxi three village ritual alliance),A008,新溪三村,Southern
V043,Buyun,步云,Buyun ershê (Buyun two shê ritual alliance),A009,步云二村,Southern
V044,Baicheng,白埕,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V045,Qianmian,前面,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V046,Qubian,屈边,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V047,Houshê,后社,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V048,Houdai,后埭,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V049,Yuanding,园顶,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V050,Puwei,浦尾,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V051,Houzhou,后周,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V052,Houpeng,后彭,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V053,Houhu,后湖,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V054,Qianhu,前湖,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V055,Huibi,灰壁,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V056,Xicuo,西厝,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V057,Beicuo,北厝,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V058,尾厝,Weicuo,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V059,Houting,后亭,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V060,Dubian,度边,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V061,Dongdian,东店,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V062,Sanjiaozeng,三角曾,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V063,Cuobing,厝柄,Cuobing sishê (four shê ritual alliance of Cuobing),A013,厝柄四社,Southern
V064,Goucen,沟岑,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V065,Houzheng,后郑,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V066,Houdai,后戴,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V067,Goudong,沟东,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V068,Shangdun,上墩,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V069,腰沟,Yaogou,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V070,Peiwei,沛尾,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V071,Xijiao,西角,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V072,Zhongjing,中境,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V073,Xiahe,下何,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V074,Huangcuoli,黄厝里,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V075,Houxiang,后巷,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V076,Dalu,大路,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V077,Shanping,山坪,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V078,Hongshan,红山,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V079,Shanxiang,善乡,Shanxiang sijia (The four jia ritual alliance of Shanxiang),A016,善乡四甲,Southern
V080,Dingcuo,顶厝,Dongjiao liucun (Dongjiao six village ritual alliance),A017,东郊六村,Southern
V081,Dingsong,顶宋,Dongjiao liucun (Dongjiao six village ritual alliance),A017,东郊六村,Southern
V082,Xiasong,下宋,Dongjiao liucun (Dongjiao six village ritual alliance),A017,东郊六村,Southern
V083,Xili,西利,Dongjiao liucun (Dongjiao six village ritual alliance),A017,东郊六村,Southern
V084,Xiating,下亭,Dongjiao liucun (Dongjiao six village ritual alliance),A017,东郊六村,Southern
V085,Houli,后利,Dongjiao liucun (Dongjiao six village ritual alliance),A017,东郊六村,Southern
V086,hangqiao,樟桥,Zhangqiao sanjia (Zhangqiao three jia ritual alliance),A018,樟桥三甲,Southern
V087,Yangcheng,洋埕,Yangcheng qijing (Yangcheng sevenfold ritual alliance),A019,洋埕七境,Southern
V088,Qiantang,钱塘,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V089,Lingding,岭顶,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V090,Houxu,后许,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V091,Houyuan,后院,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V092,Huangyuan,黄园,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V093,Xiazhuang,下庄,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V094,Shangkeng,上坑,Qiantang qijing (Qiantang sevenfold ritual alliance),A020,钱塘七境,Southern
V095,Tangtou,塘头,Shuinan sicun (Shuinan four village riutal alliance),A021,水南四村,Southern
V096,Dongzhu,东洙,Shuinan sicun (Shuinan four village riutal alliance),A021,水南四村,Southern
V097,Lukeng,卢坑,Shuinan sicun (Shuinan four village riutal alliance),A021,水南四村,Southern
V098,Shandou,山兜,Shuinan sicun (Shuinan four village riutal alliance),A021,水南四村,Southern
V099,Yaotai,瑶台,Yaotai sanjia (Yaotai three jia ritual alliance),A022,瑶台三甲,Southern
V100,Dingzhuang,定庄,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V101,Changchuan,长川,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V102,Xiaban,下阪,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V103,Tiancuo,田厝,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V104,Shangyuanqian,上院前,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V100,定庄,1.,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V101,Changchuan,长川,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V102,Xiaban,下阪,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V014,Tiancuo,田厝,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V105,Xiayuanqian,下院前,Fengshan liucun (Fengshan six village ritual alliance),A023,凤山六村,Southern
V106,Guiling,桂岭,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V107,Tingxia,亭下,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V108,Dongjing,东井,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V109,Tangwei,塘尾,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V110,Shuyuankou,书院口,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V111,Shixia,市下,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V112,Shuangxingjing,双星井,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V113,Anxing,安兴,Huangshi bashê (Huangshi eight shê ritual alliance),A024,黄石八社,Southern
V114,Qiaotou,桥头,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V115,Xicuo,西厝,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V116,Bantou,阪头,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V117,Shêqian,社前,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V118,Shuxia,树下,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V119,Tianba,田坝,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V120,Jindun,金墩,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V121,Longdu,龙渡,Shaban qijing (Shaban sevenfold ritual alliance),A025,沙阪七境,Southern
V122,Wucheng,吾埕,Dengying wucun (Dengying five village ritual alliance),A026,登瀛五村,Southern
V123,Chengwei,埕尾,Dengying wucun (Dengying five village ritual alliance),A026,登瀛五村,Southern
V124,Kengbing,坑柄,Dengying wucun (Dengying five village ritual alliance),A026,登瀛五村,Southern
V125,Keli,珂里,Dengying wucun (Dengying five village ritual alliance),A026,登瀛五村,Southern
V126,Xiahu,下湖,Dengying wucun (Dengying five village ritual alliance),A026,登瀛五村,Southern
V127,Qingzhong,清中,Qingjiang Sancun (Qingjiang three village ritual alliance),A027,清江三村,Southern
V128,Qinghou,清后,Qingjiang Sancun (Qingjiang three village ritual alliance),A027,清江三村,Southern
V129,Qingqian,清前,Qingjiang Sancun (Qingjiang three village ritual alliance),A027,清江三村,Southern
V130,Xihong,西洪,Xihong liushê (Xihong six shê riutal alliance),A028,西洪六社,Southern
V131,Qiaodou,桥兜,Qiaodou wucun (Qiaodou five village ritual alliance),A029,桥兜五村,Southern
V132,Xiajiangtou,下江头,Qiaodou wucun (Qiaodou five village ritual alliance),A029,桥兜五村,Southern
V133,Xiadai,下埭,Qiaodou wucun (Qiaodou five village ritual alliance),A029,桥兜五村,Southern
V134,Xili,西利,Qiaodou wucun (Qiaodou five village ritual alliance),A029,桥兜五村,Southern
V135,Yudai,余埭,Qiaodou wucun (Qiaodou five village ritual alliance),A029,桥兜五村,Southern
V136,Lindun,林墩,Lindun sancun (Lindun three village ritual alliance),A030,林墩三村,Southern
V137,Jiangxi,江西,Lindun sancun (Lindun three village ritual alliance),A030,林墩三村,Southern
V138,Longhua,龙华,Lindun sancun (Lindun three village ritual alliance),A030,林墩三村,Southern
V139,Jiangdong,江东,Jiangdong shiershê (Jiangdong twelve shê ritual alliance),A031,江东十二社,Southern
V140,Haibin,海滨,Haibin wujia (Haibin five jia riutal alliance),A032,海滨五甲,Southern
V141,Zhelang,遮浪,Zhelang sanjia (Zhelang three jia ritual alliance),A033,遮浪三甲,Southern
V142,Huadi,华堤,Donghua sancun (Donghua three village ritual alliance),A034,东华三村,Southern
V143,Huazhong,华中,Donghua sancun (Donghua three village ritual alliance),A034,东华三村,Southern
V144,Huadong,华东,Donghua sancun (Donghua three village ritual alliance),A034,东华三村,Southern
V145,Jingpu,井埔,Jingpu wushê (Jingpu five shê ritual alliance),A035,井埔五社,Southern
V146,Houzhu,后洙,Jingpu wushê (Jingpu five shê ritual alliance),A035,井埔五社,Southern
V147,Tadou,塔兜,Jingpu wushê (Jingpu five shê ritual alliance),A035,井埔五社,Southern
V148,Changkeng,长坑,Yuanyong wucun (Yuanyong five village ritual alliance),A036,员永五村,Southern
V149,Wulong,五龙,Yuanyong wucun (Yuanyong five village ritual alliance),A036,员永五村,Southern
V150,Goubian,沟边,Yuanyong wucun (Yuanyong five village ritual alliance),A036,员永五村,Southern
V151,Daomei,道美,Yuanyong wucun (Yuanyong five village ritual alliance),A036,员永五村,Southern
V152,Wuxiang,梧巷,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V153,Dongzhang,东张,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V154,Xizhang,西张,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V155,Zhucuo,朱厝,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V156,Xigou,西沟,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V157,Xiyuan,西园,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V158,Kangcuo,康厝,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V159,Wucuo,吴厝,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V160,Shanqianzi,山前仔,Tangxia shisanxiang (Tangxia Thirteen village ritual alliance),A037,塘下十三乡,Southern
V161,Huiyang,惠洋,Huiyang bashê (Huiyang eight shê ritual alliance),A038,惠洋八社,Southern
V162,Dongdai,东埭),Dongdai liujia (Dongjia six jia ritual alliance),A039,东埭六甲,Southern
V163,Jinshan,金山,Jinshan sijia (Jinshan four jia ritual alliance),A040,金山四甲,Southern
V164,Dongjia,东甲,Dongjia sijia (Dongjia four jia ritual alliance),A041,东甲四甲,Southern
V165,Shangzou,上邹,Dongshan sishé (Dongshan four shê ritual alliance),A042,东山四社,Southern
V166,Xiazou,下邹,Dongshan sishé (Dongshan four shê ritual alliance),A042,东山四社,Southern
V167,Dongcuo,东厝,Dongshan sishé (Dongshan four shê ritual alliance),A042,东山四社,Southern
V168,Zhengcuo,郑厝,Dongshan sishé (Dongshan four shê ritual alliance),A042,东山四社,Southern
V169,Dounan,斗南,Dounan wushê (Dounan five shê ritual alliance),A043,斗南五社,Southern
V170,Pingshan,屏山),Pingshan wushê (Pingshan five shê ritual alliance),A044,屏山五社,Southern
V171,Dongxiang,东乡,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V172,Houji,后积,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V173,Qicuo,歧厝,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V174,Yangbian,洋边,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V175,Qianchengkou,前程口,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V176,Louxia,楼下,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V177,Houchengkou,后程口,Houji qijing (Houji sevenfold ritual alliance),A045,后积七境,Southern
V178,Chengbian,埕边,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V179,Xiachen,下陈,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V180,Gouge,沟戈,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V181,Matou,码头,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V182,Fangjing,坊井,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V183,Shecuo,社厝,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V184,Beigao,北高,Chengyang qijing (Chengyang sevenfold ritual alliance),A046,呈洋七境,Southern
V185,Shangkengyuan,上坑园,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V186,Xiakengyuan,下坑园,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V187,Dongdu,东渡,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V188,Lingtou,岭头,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V189,Muqian,墓前,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V190,Shangyuanhou,上院后,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V191,Xiayuanhou,下院后,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V192,Qiandun,前墩,Kengyuan jiucun (Kengyuan nine village ritual alliance),A047,坑园九村,Southern
V193,Zhengtang,郑塘,Zhengtang wushê (Zhengtang five shê ritual alliance),A048,郑塘五社,Southern
V194,Songmu,宋墓,Zhukeng qijing (Zhukeng sevenfold ritual alliance),A049,珠坑七境,Southern
V195,Shantou,山头,Zhukeng qijing (Zhukeng sevenfold ritual alliance),A049,珠坑七境,Southern
V196,Chuandu,船渡,Zhukeng qijing (Zhukeng sevenfold ritual alliance),A049,珠坑七境,Southern
V197,Lantian,蓝田,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V198,Houhu,后湖,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V199,Guanpu,官埔,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V200,Xiazheng,下郑,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V201,Shangxin,上辛,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V202,Zhengjing,郑井,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V203,Xiaketang,下可塘,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V204,Shangketang,上可塘,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V205,Dingxi,顶溪,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V206,Laizhai,濑宅,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V207,Caomang,草莽,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V208,Sutang,苏塘,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V209,Xinxu,新徐,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V210,Jiuxu,旧徐,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V211,Mubing,墓柄,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V212,Shidou,石兜,Lantian shibaxiang (Lantian eighteen village ritual alliance),A050,蓝田十八乡,Southern
V213,Chencuo,陈厝,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V214,Wucuo,吴厝,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V215,Houhuang,后黄,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V216,Houjing,后井,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V217,Daqiu,大丘,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V218,Fulushan,福禄山,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V219,Linbing,林柄,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V220,Dingshê,顶社,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V221,Beipu,北埔,Hushi sanshiliujia (Hushi thirty-six jia ritual alliance),A051,笏石三十六甲,Southern
V222,Shangbabian,上坝边,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V223,Xiababian,下坝边,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V224,Tianyang,田洋,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V225,Cangdian,苍店,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V226,Xiadian,下店,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V227,Lincuo,林厝,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V228,Dongjin,东津,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V229,Shanding,山顶,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V230,Kengwei,坑尾,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V231,Dongzhuo,东卓,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V232,Xizhuo,西卓,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
V233,Huanglin,黄林,Hushi xiashisixiang (Hushi lower fourteen village ritual alliance),A052,笏石下十四乡,Southern
